Time,Team,Half,Outcome,Pass Height,Action Type,X,Y,X2,Y2,match_id,Group,Team_name,Opponent,Condition,Format,start_xT,end_xT,xT_added,start_zone,end_zone,score_diff,score_state,success,positive_xt,Transition
05:32.4,Team1,1,Successful,Low,Pass,12.51,-11.98,10.87,10.83,BB1_Team1-Team2(1),BB1,Team1,Team2,Bio-banding,7v7,0.0241224,0.01935132,-0.004771079999999997,Attacking,Middle,0,Drawing,1,0,Attacking->Middle
05:39.1,Team1,1,Unsuccessful,Low,Pass,6.04,6.85,15.06,-7.27,BB1_Team1-Team2(1),BB1,Team1,Team2,Bio-banding,7v7,,,,Middle,Attacking,0,Drawing,0,0,Middle->Attacking
05:43.0,Team1,1,Successful,Low,Pass,-1.15,-22.43,25.12,-18.58,BB1_Team1-Team2(1),BB1,Team1,Team2,Bio-banding,7v7,0.01248344,0.04066992,0.02818648,Middle,Attacking,0,Drawing,1,1,Middle->Attacking
11:09.1,Team1,2,Successful,Low,Pass,-11.61,-19.23,6.69,-7.14,BB1_Team1-Team2(1),BB1,Team1,Team2,Bio-banding,7v7,0.01214719,0.01935132,0.007204130000000001,Middle,Middle,0,Drawing,1,1,Middle->Middle
11:12.2,Team1,2,Successful,Low,Pass,-20.24,-9.82,-23.77,0.51,BB1_Team1-Team2(1),BB1,Team1,Team2,Bio-banding,7v7,0.01001304,0.01082722,0.0008141799999999994,Defensive,Defensive,0,Drawing,1,1,Defensive->Defensive
11:43.3,Team1,2,Successful,Low,Pass,-23.37,0.77,-22.65,-23.15,BB1_Team1-Team2(1),BB1,Team1,Team2,Bio-banding,7v7,0.01082722,0.008448540000000001,-0.0023786799999999993,Defensive,Defensive,0,Drawing,1,0,Defensive->Defensive
11:46.7,Team1,2,Successful,Low,Pass,-17.62,-22.83,7.54,-22.57,BB1_Team1-Team2(1),BB1,Team1,Team2,Bio-banding,7v7,0.008448540000000001,0.0174506,0.00900206,Defensive,Middle,0,Drawing,1,1,Defensive->Middle
11:50.9,Opponent,2,Successful,High,Shot,-17.88,7.25,-33.44,1.89,BB1_Team1-Team2(1),BB1,Team1,Team2,Bio-banding,7v7,0.01001304,0.00941056,-0.0006024800000000007,Defensive,Defensive,0,Drawing,1,0,Defensive->Defensive
11:53.1,Team1,2,Successful,Low,Pass,-9.06,0.71,-14.29,15.42,BB1_Team1-Team2(1),BB1,Team1,Team2,Bio-banding,7v7,0.01262646,0.010594899999999999,-0.0020315600000000017,Middle,Defensive,-1,Trailing,1,0,Middle->Defensive
12:18.1,Team1,2,Successful,Low,Pass,-14.29,15.42,-26.32,10.58,BB1_Team1-Team2(1),BB1,Team1,Team2,Bio-banding,7v7,0.010594899999999999,0.00977745,-0.0008174499999999991,Defensive,Defensive,-1,Trailing,1,0,Defensive->Defensive
12:19.2,Team1,2,Unsuccessful,Low,Pass,-26.32,10.51,-23.7,1.1,BB1_Team1-Team2(1),BB1,Team1,Team2,Bio-banding,7v7,,,,Defensive,Defensive,-1,Trailing,0,0,Defensive->Defensive
16:01.2,Team1,2,Successful,Low,Pass,-6.32,-11.26,20.09,-8.38,BB1_Team1-Team2(1),BB1,Team1,Team2,Bio-banding,7v7,0.01269174,0.02855202,0.01586028,Middle,Attacking,-1,Trailing,1,1,Middle->Attacking
16:03.6,Team1,2,Successful,High,Shot,25.71,-5.63,33.68,-0.21,BB1_Team1-Team2(1),BB1,Team1,Team2,Bio-banding,7v7,0.10805102,0.25745362,0.1494026,Attacking,Attacking,-1,Trailing,1,1,Attacking->Attacking
16:08.5,Opponent,2,Successful,Low,Shot,-21.54,-17.98,-33.31,0.32,BB1_Team1-Team2(1),BB1,Team1,Team2,Bio-banding,7v7,0.00942382,0.00941056,-1.3259999999999314e-05,Defensive,Defensive,0,Drawing,1,0,Defensive->Defensive
16:20.7,Team1,2,Successful,Low,Pass,0.22,9.27,5.71,25.42,BB1_Team1-Team2(1),BB1,Team1,Team2,Bio-banding,7v7,0.01685596,0.014735960000000001,-0.0021199999999999986,Middle,Middle,-1,Trailing,1,0,Middle->Middle
16:23.9,Team1,2,Successful,Low,Pass,5.84,25.22,24.73,25.15,BB1_Team1-Team2(1),BB1,Team1,Team2,Bio-banding,7v7,0.0174506,0.03485072,0.01740012,Middle,Attacking,-1,Trailing,1,1,Middle->Attacking
16:27.4,Team1,2,Unsuccessful,Low,Pass,25.32,24.57,32.05,10.78,BB1_Team1-Team2(1),BB1,Team1,Team2,Bio-banding,7v7,,,,Attacking,Attacking,-1,Trailing,0,0,Attacking->Attacking
01:33.8,Team1,1,Successful,Low,Pass,-20.76,23.99,-4.81,23.99,BB1_Team1-Team2(2),BB1,Team1,Team2,Bio-banding,7v7,0.008448540000000001,0.01248344,0.004034899999999999,Defensive,Middle,0,Drawing,1,1,Defensive->Middle
01:38.3,Team1,1,Unsuccessful,Low,Pass,-0.63,26.93,18.59,26.28,BB1_Team1-Team2(2),BB1,Team1,Team2,Bio-banding,7v7,,,,Middle,Attacking,0,Drawing,0,0,Middle->Attacking
01:53.5,Team1,1,Successful,Low,Pass,18.85,23.14,27.28,11.31,BB1_Team1-Team2(2),BB1,Team1,Team2,Bio-banding,7v7,0.02756312,0.05491138,0.027348260000000003,Attacking,Attacking,0,Drawing,1,1,Attacking->Attacking
01:57.8,Team1,1,Successful,Low,Pass,0.29,1.44,8.33,22.88,BB1_Team1-Team2(2),BB1,Team1,Team2,Bio-banding,7v7,0.01689528,0.0174506,0.0005553200000000015,Middle,Middle,0,Drawing,1,1,Middle->Middle
02:01.7,Team1,1,Unsuccessful,Low,Pass,26.36,10.19,17.28,0.85,BB1_Team1-Team2(2),BB1,Team1,Team2,Bio-banding,7v7,,,,Attacking,Attacking,0,Drawing,0,0,Attacking->Attacking
02:15.9,Team1,1,Successful,Low,Pass,-15.27,10.58,-24.09,0.52,BB1_Team1-Team2(2),BB1,Team1,Team2,Bio-banding,7v7,0.01110462,0.01082722,-0.00027740000000000056,Defensive,Defensive,0,Drawing,1,0,Defensive->Defensive
02:22.9,Team1,1,Successful,Low,Pass,-24.22,0.26,-3.44,-0.33,BB1_Team1-Team2(2),BB1,Team1,Team2,Bio-banding,7v7,0.01082722,0.01484598,0.00401876,Defensive,Middle,0,Drawing,1,1,Defensive->Middle
03:09.5,Team1,1,Unsuccessful,Low,Pass,-3.37,-0.66,-4.35,15.22,BB1_Team1-Team2(2),BB1,Team1,Team2,Bio-banding,7v7,,,,Middle,Middle,0,Drawing,0,0,Middle->Middle
03:15.5,Team1,1,Successful,Low,Pass,-3.83,14.37,15.65,7.38,BB1_Team1-Team2(2),BB1,Team1,Team2,Bio-banding,7v7,0.013845399999999999,0.0241224,0.010277,Middle,Attacking,0,Drawing,1,1,Middle->Attacking
03:27.0,Team1,1,Successful,Low,Pass,-12.39,-18.7,10.55,-12.23,BB1_Team1-Team2(2),BB1,Team1,Team2,Bio-banding,7v7,0.010594899999999999,0.01935132,0.008756420000000003,Defensive,Middle,0,Drawing,1,1,Defensive->Middle
03:29.0,Team1,1,Successful,Low,Pass,-13.05,-0.27,-22.0,0.13,BB1_Team1-Team2(2),BB1,Team1,Team2,Bio-banding,7v7,0.01132376,0.010165490000000001,-0.0011582699999999994,Defensive,Defensive,0,Drawing,1,0,Defensive->Defensive
04:00.3,Team1,1,Successful,Low,Pass,-22.92,0.39,-10.76,-11.51,BB1_Team1-Team2(2),BB1,Team1,Team2,Bio-banding,7v7,0.010165490000000001,0.01269174,0.002526249999999999,Defensive,Middle,0,Drawing,1,1,Defensive->Middle
04:01.4,Team1,1,Successful,Low,Pass,-10.96,-11.12,-9.39,-22.29,BB1_Team1-Team2(2),BB1,Team1,Team2,Bio-banding,7v7,0.01269174,0.01126267,-0.0014290699999999993,Middle,Middle,0,Drawing,1,0,Middle->Middle
05:01.0,Team1,1,Successful,Low,Shot,26.3,-2.02,33.36,-0.85,BB1_Team1-Team2(2),BB1,Team1,Team2,Bio-banding,7v7,0.10805102,0.25745362,0.1494026,Attacking,Attacking,0,Drawing,1,1,Attacking->Attacking
05:01.8,Team1,1,Successful,Low,Pass,2.12,-24.9,18.65,-24.44,BB1_Team1-Team2(2),BB1,Team1,Team2,Bio-banding,7v7,0.014735960000000001,0.02756312,0.012827159999999999,Middle,Attacking,1,Leading,1,1,Middle->Attacking
11:10.7,Team1,2,Successful,Low,Pass,21.2,-23.26,31.07,-6.14,BB1_Team1-Team2(2),BB1,Team1,Team2,Bio-banding,7v7,0.02756312,0.25745362,0.2298905,Attacking,Attacking,1,Leading,1,1,Attacking->Attacking
11:41.5,Team1,2,Unsuccessful,Low,Pass,-16.64,-17.84,-31.61,-23.79,BB1_Team1-Team2(2),BB1,Team1,Team2,Bio-banding,7v7,,,,Defensive,Defensive,1,Leading,0,0,Defensive->Defensive
11:43.9,Team1,2,Successful,Low,Pass,-31.41,-23.46,-20.43,-5.68,BB1_Team1-Team2(2),BB1,Team1,Team2,Bio-banding,7v7,0.0063830300000000005,0.010165490000000001,0.0037824600000000005,Defensive,Defensive,1,Leading,1,1,Defensive->Defensive
11:58.2,Opponent,2,Successful,Low,Shot,-17.16,11.7,-33.83,0.26,BB1_Team1-Team2(2),BB1,Team1,Team2,Bio-banding,7v7,0.01110462,0.00941056,-0.0016940600000000007,Defensive,Defensive,1,Leading,1,0,Defensive->Defensive
12:02.6,Opponent,2,Successful,High,Shot,-24.94,2.75,-33.57,0.2,BB1_Team1-Team2(2),BB1,Team1,Team2,Bio-banding,7v7,0.01082722,0.00941056,-0.0014166600000000001,Defensive,Defensive,0,Drawing,1,0,Defensive->Defensive
12:32.0,Team1,2,Successful,Low,Pass,-9.13,0.38,-12.65,13.25,BB1_Team1-Team2(2),BB1,Team1,Team2,Bio-banding,7v7,0.01262646,0.01110462,-0.00152184,Middle,Defensive,-1,Trailing,1,0,Middle->Defensive
12:36.6,Team1,2,Successful,Low,Pass,-12.79,13.84,0.16,9.72,BB1_Team1-Team2(2),BB1,Team1,Team2,Bio-banding,7v7,0.01110462,0.01685596,0.005751339999999999,Defensive,Middle,-1,Trailing,1,1,Defensive->Middle
12:38.1,Team1,2,Unsuccessful,Low,Pass,0.09,9.66,11.07,-0.67,BB1_Team1-Team2(2),BB1,Team1,Team2,Bio-banding,7v7,,,,Middle,Middle,-1,Trailing,0,0,Middle->Middle
12:40.8,Team1,2,Successful,Low,Pass,11.46,-0.82,18.0,16.24,BB1_Team1-Team2(2),BB1,Team1,Team2,Bio-banding,7v7,0.019970699999999997,0.029532720000000002,0.009562020000000004,Middle,Attacking,-1,Trailing,1,1,Middle->Attacking
12:45.7,Team1,2,Successful,High,Pass,18.19,16.24,27.35,23.63,BB1_Team1-Team2(2),BB1,Team1,Team2,Bio-banding,7v7,0.029532720000000002,0.03485072,0.005318,Attacking,Attacking,-1,Trailing,1,1,Attacking->Attacking
12:48.0,Team1,2,Successful,Low,Pass,27.67,23.04,31.72,10.69,BB1_Team1-Team2(2),BB1,Team1,Team2,Bio-banding,7v7,0.03485072,0.06442595,0.029575229999999994,Attacking,Attacking,-1,Trailing,1,1,Attacking->Attacking
15:36.4,Team1,2,Successful,Low,Shot,26.04,5.34,34.08,1.35,BB1_Team1-Team2(2),BB1,Team1,Team2,Bio-banding,7v7,0.10805102,0.25745362,0.1494026,Attacking,Attacking,-1,Trailing,1,1,Attacking->Attacking
15:40.3,Team1,2,Successful,Low,Pass,-10.82,20.43,-24.55,20.17,BB1_Team1-Team2(2),BB1,Team1,Team2,Bio-banding,7v7,0.01214719,0.00878589,-0.003361300000000001,Middle,Defensive,0,Drawing,1,0,Middle->Defensive
16:05.2,Team1,2,Successful,Low,Pass,-24.55,20.17,-23.18,3.51,BB1_Team1-Team2(2),BB1,Team1,Team2,Bio-banding,7v7,0.00878589,0.010165490000000001,0.0013796000000000017,Defensive,Defensive,0,Drawing,1,1,Defensive->Defensive
00:12.9,Team1,1,Successful,Low,Pass,-33.43,-3.81,-19.18,-13.14,BB2_Team1-Team3,BB2,Team1,Team3,Bio-banding,11v11,0.010165490000000001,0.01110462,0.0009391299999999998,Defensive,Defensive,0,Drawing,1,1,Defensive->Defensive
04:06.4,Team1,1,Successful,Low,Pass,-20.09,8.69,-7.76,14.44,BB2_Team1-Team3,BB2,Team1,Team3,Bio-banding,11v11,0.01110462,0.01429128,0.003186659999999999,Defensive,Middle,0,Drawing,1,1,Defensive->Middle
04:09.5,Team1,1,Unsuccessful,Low,Pass,-40.76,-0.89,5.66,-18.56,BB2_Team1-Team3,BB2,Team1,Team3,Bio-banding,11v11,,,,Defensive,Middle,0,Drawing,0,0,Defensive->Middle
04:12.0,Team1,1,Successful,Low,Pass,-19.09,-22.64,22.16,-9.73,BB2_Team1-Team3,BB2,Team1,Team3,Bio-banding,11v11,0.010594899999999999,0.0241224,0.0135275,Defensive,Attacking,0,Drawing,1,1,Defensive->Attacking
04:18.5,Team1,1,Successful,Low,Pass,-14.84,1.94,2.82,1.94,BB2_Team1-Team3,BB2,Team1,Team3,Bio-banding,11v11,0.01262646,0.01689528,0.004268819999999998,Middle,Middle,0,Drawing,1,1,Middle->Middle
05:48.5,Team1,1,Unsuccessful,Low,Pass,-6.01,27.36,19.49,23.27,BB2_Team1-Team3,BB2,Team1,Team3,Bio-banding,11v11,,,,Middle,Attacking,0,Drawing,0,0,Middle->Attacking
05:50.8,Team1,1,Successful,Low,Pass,28.07,-0.89,33.49,13.36,BB2_Team1-Team3,BB2,Team1,Team3,Bio-banding,11v11,0.03511326,0.02855202,-0.0065612399999999994,Attacking,Attacking,0,Drawing,1,0,Attacking->Attacking
05:54.1,Team1,1,Successful,Low,Pass,29.24,-8.23,44.57,-16.23,BB2_Team1-Team3,BB2,Team1,Team3,Bio-banding,11v11,0.03511326,0.06442595,0.029312689999999995,Attacking,Attacking,0,Drawing,1,1,Attacking->Attacking
05:57.0,Team1,1,Successful,Low,Pass,41.74,-1.89,51.57,0.11,BB2_Team1-Team3,BB2,Team1,Team3,Bio-banding,11v11,0.10805102,0.25745362,0.1494026,Attacking,Attacking,0,Drawing,1,1,Attacking->Attacking
06:00.2,Team1,1,Successful,Low,Shot,-29.68,19.28,-40.68,11.36,BB2_Team1-Team3,BB2,Team1,Team3,Bio-banding,11v11,0.00942382,0.00977745,0.0003536300000000006,Defensive,Defensive,0,Drawing,1,1,Defensive->Defensive
06:16.1,Team1,1,Successful,Low,Pass,-42.26,9.95,-28.18,2.45,BB2_Team1-Team3,BB2,Team1,Team3,Bio-banding,11v11,0.00977745,0.010165490000000001,0.00038804000000000095,Defensive,Defensive,1,Leading,1,1,Defensive->Defensive
08:18.6,Team1,1,Successful,Low,Pass,-27.43,2.11,-18.76,0.53,BB2_Team1-Team3,BB2,Team1,Team3,Bio-banding,11v11,0.010165490000000001,0.01132376,0.0011582699999999994,Defensive,Defensive,1,Leading,1,1,Defensive->Defensive
08:22.0,Team1,1,Successful,Low,Pass,-34.68,-11.55,-42.26,0.95,BB2_Team1-Team3,BB2,Team1,Team3,Bio-banding,11v11,0.01001304,0.01082722,0.0008141799999999994,Defensive,Defensive,1,Leading,1,1,Defensive->Defensive
19:01.7,Team1,1,Successful,Low,Pass,-42.18,1.53,-39.76,-24.22,BB2_Team1-Team3,BB2,Team1,Team3,Bio-banding,11v11,0.01082722,0.00878589,-0.002041330000000001,Defensive,Defensive,1,Leading,1,0,Defensive->Defensive
19:04.8,Team1,1,Unsuccessful,Low,Pass,-37.76,-24.57,-14.68,-26.24,BB2_Team1-Team3,BB2,Team1,Team3,Bio-banding,11v11,,,,Defensive,Middle,1,Leading,0,0,Defensive->Middle
19:07.0,Team1,2,Successful,Low,Pass,-2.26,-20.66,8.66,0.01,BB2_Team1-Team3,BB2,Team1,Team3,Bio-banding,11v11,0.013845399999999999,0.01689528,0.0030498799999999996,Middle,Middle,1,Leading,1,1,Middle->Middle
19:08.5,Team1,2,Successful,Low,Pass,8.74,1.18,26.07,13.34,BB2_Team1-Team3,BB2,Team1,Team3,Bio-banding,11v11,0.01689528,0.0241224,0.00722712,Middle,Attacking,1,Leading,1,1,Middle->Attacking
19:11.2,Team1,2,Successful,Low,Pass,37.32,14.44,51.41,0.69,BB2_Team1-Team3,BB2,Team1,Team3,Bio-banding,11v11,0.05491138,0.25745362,0.20254223999999998,Attacking,Attacking,1,Leading,1,1,Attacking->Attacking
19:13.6,Team1,2,Successful,Low,Shot,46.57,11.19,52.07,3.69,BB2_Team1-Team3,BB2,Team1,Team3,Bio-banding,11v11,0.06442595,0.25745362,0.19302766999999998,Attacking,Attacking,1,Leading,1,1,Attacking->Attacking
19:19.7,Opponent,2,Successful,High,Shot,-41.84,7.18,-51.09,1.68,BB2_Team1-Team3,BB2,Team1,Team3,Bio-banding,11v11,0.01082722,0.00941056,-0.0014166600000000001,Defensive,Defensive,2,Leading,1,0,Defensive->Defensive
19:22.5,Team1,2,Successful,Low,Shot,-9.18,-1.08,-28.34,8.34,BB2_Team1-Team3,BB2,Team1,Team3,Bio-banding,11v11,0.01262646,0.010165490000000001,-0.00246097,Middle,Defensive,1,Leading,1,0,Middle->Defensive
19:25.5,Team1,2,Successful,Low,Pass,-28.34,8.34,-9.43,21.34,BB2_Team1-Team3,BB2,Team1,Team3,Bio-banding,11v11,0.010165490000000001,0.01214719,0.0019816999999999994,Defensive,Middle,2,Leading,1,1,Defensive->Middle
19:26.7,Team1,2,Unsuccessful,Low,Pass,1.91,17.34,17.24,1.17,BB2_Team1-Team3,BB2,Team1,Team3,Bio-banding,11v11,,,,Middle,Middle,2,Leading,0,0,Middle->Middle
20:03.4,Team1,2,Successful,Low,Pass,19.99,-0.08,40.49,0.75,BB2_Team1-Team3,BB2,Team1,Team3,Bio-banding,11v11,0.02385149,0.10805102,0.08419953,Attacking,Attacking,2,Leading,1,1,Attacking->Attacking
20:05.3,Team1,2,Successful,High,Pass,18.82,-1.91,27.91,-23.41,BB2_Team1-Team3,BB2,Team1,Team3,Bio-banding,11v11,0.02385149,0.029532720000000002,0.005681230000000002,Attacking,Attacking,2,Leading,1,1,Attacking->Attacking
20:06.9,Team1,2,Unsuccessful,Low,Pass,20.24,-23.49,40.07,-17.58,BB2_Team1-Team3,BB2,Team1,Team3,Bio-banding,11v11,,,,Attacking,Attacking,2,Leading,0,0,Attacking->Attacking
20:09.9,Team1,2,Successful,Low,Pass,-2.93,-24.83,-21.26,-17.83,BB2_Team1-Team3,BB2,Team1,Team3,Bio-banding,11v11,0.013845399999999999,0.010594899999999999,-0.0032505,Middle,Defensive,2,Leading,1,0,Middle->Defensive
20:15.8,Team1,2,Successful,Low,Pass,-20.84,-17.66,-6.76,-7.66,BB2_Team1-Team3,BB2,Team1,Team3,Bio-banding,11v11,0.010594899999999999,0.01484598,0.004251080000000001,Defensive,Middle,2,Leading,1,1,Defensive->Middle
20:17.8,Opponent,2,Successful,Low,Shot,-45.68,-7.57,-51.09,-1.32,BB2_Team1-Team3,BB2,Team1,Team3,Bio-banding,11v11,0.00941056,0.00941056,0.0,Defensive,Defensive,2,Leading,1,0,Defensive->Defensive
00:19.1,Team2,1,Successful,Low,Pass,-31.93,2.78,-20.09,17.78,BB3_Team2-Team1,BB3,Team2,Team1,Bio-banding,11v11,0.010165490000000001,0.010594899999999999,0.0004294099999999981,Defensive,Defensive,0,Drawing,1,1,Defensive->Defensive
00:20.7,Team2,1,Successful,Low,Pass,-23.93,-5.8,-1.43,-10.55,BB3_Team2-Team1,BB3,Team2,Team1,Bio-banding,11v11,0.01132376,0.01429128,0.0029675199999999995,Defensive,Middle,0,Drawing,1,1,Defensive->Middle
00:49.9,Team2,1,Successful,Low,Pass,-11.76,3.78,16.91,6.2,BB3_Team2-Team1,BB3,Team2,Team1,Bio-banding,11v11,0.01262646,0.019970699999999997,0.007344239999999997,Middle,Middle,0,Drawing,1,1,Middle->Middle
00:53.8,Team2,1,Successful,Low,Pass,-5.51,19.2,22.16,11.12,BB3_Team2-Team1,BB3,Team2,Team1,Bio-banding,11v11,0.013845399999999999,0.0241224,0.010277,Middle,Attacking,0,Drawing,1,1,Middle->Attacking
01:11.4,Team2,1,Unsuccessful,Low,Pass,24.16,-10.05,38.24,5.87,BB3_Team2-Team1,BB3,Team2,Team1,Bio-banding,11v11,,,,Attacking,Attacking,0,Drawing,0,0,Attacking->Attacking
01:17.3,Team2,1,Successful,Low,Pass,-30.09,-5.4,-36.09,-11.24,BB3_Team2-Team1,BB3,Team2,Team1,Bio-banding,11v11,0.010165490000000001,0.00977745,-0.00038804000000000095,Defensive,Defensive,0,Drawing,1,0,Defensive->Defensive
01:22.1,Team2,1,Unsuccessful,Low,Pass,-30.59,-5.74,-41.09,0.43,BB3_Team2-Team1,BB3,Team2,Team1,Bio-banding,11v11,,,,Defensive,Defensive,0,Drawing,0,0,Defensive->Defensive
01:26.9,Team2,1,Successful,Low,Pass,-41.26,1.18,-27.51,11.93,BB3_Team2-Team1,BB3,Team2,Team1,Bio-banding,11v11,0.01082722,0.01001304,-0.0008141799999999994,Defensive,Defensive,0,Drawing,1,0,Defensive->Defensive
01:29.5,Team2,1,Successful,Low,Pass,-27.09,11.1,-43.43,9.51,BB3_Team2-Team1,BB3,Team2,Team1,Bio-banding,11v11,0.01001304,0.00977745,-0.0002355900000000008,Defensive,Defensive,0,Drawing,1,0,Defensive->Defensive
01:33.1,Team2,1,Successful,Low,Pass,-43.01,8.85,-23.59,1.76,BB3_Team2-Team1,BB3,Team2,Team1,Bio-banding,11v11,0.00977745,0.01132376,0.0015463100000000004,Defensive,Defensive,0,Drawing,1,1,Defensive->Defensive
01:35.8,Opponent,1,Successful,Low,Shot,-34.18,8.94,-51.34,0.94,BB3_Team2-Team1,BB3,Team2,Team1,Bio-banding,11v11,0.01001304,0.00941056,-0.0006024800000000007,Defensive,Defensive,0,Drawing,1,0,Defensive->Defensive
01:38.6,Team2,1,Successful,Low,Pass,-9.34,0.36,-23.01,8.02,BB3_Team2-Team1,BB3,Team2,Team1,Bio-banding,11v11,0.01262646,0.01132376,-0.0013027000000000004,Middle,Defensive,-1,Trailing,1,0,Middle->Defensive
01:44.1,Team2,1,Successful,Low,Pass,-23.59,8.36,-0.18,9.19,BB3_Team2-Team1,BB3,Team2,Team1,Bio-banding,11v11,0.01132376,0.01429128,0.0029675199999999995,Defensive,Middle,-1,Trailing,1,1,Defensive->Middle
02:19.0,Team2,1,Successful,Low,Pass,0.24,9.19,21.82,22.19,BB3_Team2-Team1,BB3,Team2,Team1,Bio-banding,11v11,0.01685596,0.024015210000000002,0.007159250000000002,Middle,Attacking,-1,Trailing,1,1,Middle->Attacking
02:20.6,Team2,1,Successful,Low,Pass,22.57,22.11,29.49,9.69,BB3_Team2-Team1,BB3,Team2,Team1,Bio-banding,11v11,0.024015210000000002,0.02855202,0.004536809999999999,Attacking,Attacking,-1,Trailing,1,1,Attacking->Attacking
02:22.1,Team2,2,Successful,Low,Pass,35.16,21.52,41.07,13.27,BB3_Team2-Team1,BB3,Team2,Team1,Bio-banding,11v11,0.04066992,0.05491138,0.014241460000000004,Attacking,Attacking,-1,Trailing,1,1,Attacking->Attacking
02:27.7,Team2,2,Unsuccessful,Low,Pass,-8.59,21.21,5.66,32.21,BB3_Team2-Team1,BB3,Team2,Team1,Bio-banding,11v11,,,,Middle,Middle,-1,Trailing,0,0,Middle->Middle
19:20.9,Team2,2,Successful,Low,Pass,17.49,-12.9,36.49,-17.73,BB3_Team2-Team1,BB3,Team2,Team1,Bio-banding,11v11,0.01935132,0.04066992,0.021318599999999997,Middle,Attacking,-1,Trailing,1,1,Middle->Attacking
19:23.6,Team2,2,Successful,Low,Shot,40.16,-8.66,50.49,-1.49,BB3_Team2-Team1,BB3,Team2,Team1,Bio-banding,11v11,0.05491138,0.25745362,0.20254223999999998,Attacking,Attacking,-1,Trailing,1,1,Attacking->Attacking
19:26.4,Team2,2,Unsuccessful,High,Shot,41.99,-9.74,50.41,2.84,BB3_Team2-Team1,BB3,Team2,Team1,Bio-banding,11v11,,,,Attacking,Attacking,0,Drawing,0,0,Attacking->Attacking
19:31.1,Team2,2,Successful,Low,Pass,-18.68,-18.75,7.49,-24.25,BB3_Team2-Team1,BB3,Team2,Team1,Bio-banding,11v11,0.010594899999999999,0.01611813,0.005523230000000002,Defensive,Middle,0,Drawing,1,1,Defensive->Middle
19:33.5,Team2,2,Successful,Low,Pass,-19.51,-12.58,8.41,-4.25,BB3_Team2-Team1,BB3,Team2,Team1,Bio-banding,11v11,0.01110462,0.01689528,0.005790659999999998,Defensive,Middle,0,Drawing,1,1,Defensive->Middle
